"","gene","log2FoldChange","padj","pvalue","baseMean","stat"
"OR7E94P","OR7E94P",-0.580192213071594,0.00019728371169005,6.144269926547e-05,14.0420398546502,-4.007200507499
"ACBD3-AS1","ACBD3-AS1",-0.782098864500549,0.000198344021009137,6.17888683190858e-05,6.05915077102406,-4.00587290441037
"RERG-AS1","RERG-AS1",-1.14529913909702,0.000198388827804629,6.18081421566386e-05,2.85968717067322,-4.00579919386267
"AC087672.1","AC087672.1",-1.88344475697206,0.00019854428118637,6.18618933610989e-05,1.67829019674375,-4.00559374354897
"AC005046.1","AC005046.1",-0.641067413781043,0.000198810877549131,6.19502855048199e-05,30.3146728233937,-4.00525625424869
"RN7SL494P","RN7SL494P",-0.982732453893191,0.000198940626334577,6.19960460010574e-05,1.82084150876923,-4.00508171553976
"BIRC6-AS2","BIRC6-AS2",-0.534153894314768,0.000198947074354289,6.20033858181038e-05,11.0908234641955,-4.00505373151719
"OR4K13","OR4K13",-0.710637169074651,0.000199196740617983,6.21010424584628e-05,3.6226625365364,-4.00468170082543
"SMIM31","SMIM31",-0.62722811029724,0.000199196740617983,6.21025446462194e-05,7.59768811309046,-4.00467598244894
"AC091429.1","AC091429.1",-0.619693247204473,0.000199218776411489,6.21147523269967e-05,6.56983830342145,-4.00462951633941
"AC108516.1","AC108516.1",-2.29158433035573,0.000199543166124813,6.22212407191429e-05,0.686579013729377,-4.00422455569034
"AKT3-IT1","AKT3-IT1",-0.628676221791267,0.000199745352781712,6.22896380523095e-05,6.54129594432385,-4.0039647959955
"AC079354.1","AC079354.1",-0.539900148789146,0.00020066138268004,6.25889686614631e-05,9.85557113762972,-4.00283116430738
"AC243967.3","AC243967.3",-0.685789856647118,0.000201784074724555,6.29632487807027e-05,5.55023221703245,-4.00142088129761
"TRAPPC13P1","TRAPPC13P1",-1.54642443305999,0.000202509713953956,6.31950978866041e-05,0.693121927993466,-4.00055125192896
"ARHGEF7-IT1","ARHGEF7-IT1",-1.45158335354048,0.000203297589800977,6.3457303035163e-05,0.673374468721353,-3.99957139362473
"AC005899.7","AC005899.7",-0.707170568470062,0.000204016637539634,6.36981453058262e-05,3.55402762313985,-3.99867473926167
"AC106872.13","AC106872.13",-0.52343181551274,0.00020459683517849,6.38902583930902e-05,9.30329124661884,-3.99796180127156
"AC007036.2","AC007036.2",-0.882633811453974,0.000205781179137871,6.42986927928048e-05,2.84780602623069,-3.99645280636911
"AC080188.2","AC080188.2",-0.728040918105898,0.000205944527321113,6.43552507072353e-05,7.17010945741886,-3.99624456400764
"AC079336.5","AC079336.5",-0.5320873110645,0.000206256151180327,6.44581557583082e-05,23.9722740883346,-3.99586611858883
"AC124067.4","AC124067.4",-0.528782500286249,0.000206944494823756,6.46954522842104e-05,11.9712028491327,-3.99499560791928
"AP000317.2","AP000317.2",-1.18031095615352,0.000207941883317014,6.50184009406949e-05,1.56416780204054,-3.99381572925988
"KCNA4","KCNA4",-1.54180171888662,0.000208716108997957,6.52716669138106e-05,3.4441052821618,-3.9928943074617
"AC015878.2","AC015878.2",-0.68774237725891,0.000208936474605412,6.53517778459282e-05,4.54425341155016,-3.99260355555138
"AC132938.2","AC132938.2",-0.719531653360921,0.000209546312055454,6.55537534378127e-05,5.68874246277231,-3.99187200681086
"MYL10","MYL10",-0.814044771368603,0.000210414883704172,6.58423874495893e-05,2.54561704645165,-3.99083027807309
"MYCNOS","MYCNOS",-0.550288751794278,0.00021055376023027,6.5897127059716e-05,8.03809948717375,-3.99063320126533
"AC020558.1","AC020558.1",-0.749302509817056,0.000210639653445793,6.59296528026619e-05,2.84921721131564,-3.99051617351378
"AC010643.1","AC010643.1",-0.57300358894071,0.000210966938938587,6.60490496877902e-05,6.86760284270512,-3.99008705096038
"AL731577.1","AL731577.1",-0.731175481686215,0.000213308326066328,6.68335226273248e-05,5.8619940976074,-3.98728571194675
"AC004943.1","AC004943.1",-0.563795518413767,0.000213772159107935,6.69845778947914e-05,5.42860602454491,-3.98674987114245
"STARD13-AS","STARD13-AS",-0.558961405089634,0.0002140286199517,6.70706732833662e-05,17.6982550587954,-3.98644497494765
"AC012409.3","AC012409.3",-0.752985805275524,0.000214481736334936,6.72241607492988e-05,4.26663732162314,-3.98590233555119
"OR8B9P","OR8B9P",-0.620548533880197,0.000214645083283363,6.72912630143346e-05,8.25302141678895,-3.98566547051787
